patentType,applicantName,year,month,count
发明授权,中国石油化工股份有限公司,2015,9,3
发明授权,江苏南方通信科技有限公司,2018,4,1
发明授权,云南楚雄东宝生物资源开发有限公司,2018,4,1
发明授权,宇龙计算机通信科技(深圳)有限公司,2018,4,2
发明授权,川渝中烟工业有限责任公司,2015,9,1
发明授权,宁波方正汽车模具有限公司,2014,8,1
发明授权,株式会社牧田,2014,8,1
发明授权,美国索尼电脑娱乐有限责任公司,2014,8,1
发明公开,安徽意力电缆有限公司,2017,8,1
发明授权,北京卫星制造厂,2018,4,1
发明授权,英派尔科技开发有限公司,2018,4,1
发明授权,深圳市国创纳米抗体技术有限公司,2018,4,1
发明公开,发那科株式会社,2016,7,1
发明授权,成都拓利科技股份有限公司,2018,4,1
发明授权,清华大学,2017,6,1
发明授权,北京奇宝科技有限公司,2018,9,1
发明授权,株式会社捷太格特,2015,10,1
发明授权,中国矿业大学,2015,9,1
实用新型,天津科技大学,2009,8,1
发明授权,北京中油爱索环境工程技术有限公司,2014,1,1
发明授权,深圳深蓝精机有限公司,2015,4,1
实用新型,仙游县森汶农业开发有限公司,2018,6,1
发明授权,德纳重型车辆系统集团有限责任公司,2018,4,1
发明授权,中广核俊尔新材料有限公司,2019,2,1
发明授权,东莞市厚街资产经营管理有限公司,2015,9,1
发明授权,广东建邦计算机软件有限公司,2015,9,1
发明授权,杭州龙鑫科技有限公司,2017,10,1
实用新型,江苏长城电缆有限公司,2015,1,1
发明授权,三星电子株式会社,2017,10,2
发明授权,广东卓维网络有限公司,2015,10,1
发明授权,日特机械工程株式会社,2014,8,1
发明授权,通化卫京药业股份有限公司,2014,4,1
发明授权,中国石油化工股份有限公司上海石油化工研究院,2015,9,2
发明公开,SIKA技术股份公司,2015,5,1
发明授权,住友电装株式会社,2015,10,1
发明授权,国家电网公司,2015,10,1
发明授权,路博润高级材料公司,2017,10,1
发明授权,先进自动器材有限公司,2011,12,1
发明授权,株式会社东海理化电机制作所,2015,10,1
发明授权,中国海洋石油总公司,2015,10,1
发明授权,华为技术有限公司,2011,4,1
发明授权,国网山西省电力公司朔州供电公司,2015,10,1
实用新型,河南豫冠电力设备有限公司,2015,1,1
发明授权,浙江维思无线网络技术有限公司,2016,4,1
发明授权,广西电网有限责任公司电力科学研究院,2018,4,1
发明授权,深圳市名雕装饰股份有限公司,2017,10,1
发明授权,美卓矿物公司,2019,1,1
外观专利,云南中烟工业有限责任公司,2017,12,1
发明授权,麦克罗尼克迈达塔有限责任公司,2015,10,1
发明授权,荆门中洲科技有限责任公司,2014,10,1
发明授权,北京正唐科技有限责任公司,2014,8,1
发明授权,株式会社MORESCO,2015,10,1
发明授权,河南奥斯派克科技有限公司,2018,4,1
发明授权,三菱丽阳株式会社,2015,10,1
发明授权,无锡平盛科技有限公司,2015,10,1
发明授权,舍弗勒技术股份两合公司,2015,10,1
发明授权,娄底市凌一机电设备有限公司,2014,8,1
发明授权,西门子企业通讯有限责任两合公司,2015,10,1
发明授权,斯卡拉株式会社,2010,2,1
发明授权,梅特勒-托利多(常州)称重设备系统有限公司,2015,9,1
发明授权,梅特勒-托利多(常州)测量技术有限公司,2015,9,1
发明公开,无锡市翱宇特新科技发展有限公司,2018,7,1
发明公开,重庆燕蓝科技有限公司,2015,1,1
发明授权,三菱电机株式会社,2015,10,1
发明授权,翔风技术有限公司,2015,9,1
实用新型,曲靖浩晨电力工程设计有限公司,2017,2,1
发明授权,富士通株式会社,2015,10,1
发明授权,株洲敏锐机车配件有限责任公司,2014,10,1
发明授权,ABB技术有限公司,2015,10,1
发明授权,广东鼎燊科技有限公司,2015,10,1
发明授权,日本电气株式会社,2017,10,1
发明授权,东莞市天元通金属科技有限公司,2018,4,1
发明公开,桓达科技股份有限公司,2009,7,1
外观专利,重庆隆鑫发动机有限公司,2017,3,1
发明授权,浙江华宇蜗轮减速机有限公司,2015,10,1
发明授权,酷派软件技术(深圳)有限公司,2018,4,1
发明授权,四川中烟工业有限责任公司,2019,1,1
发明授权,富士通半导体股份有限公司,2015,9,1
实用新型,深圳市金溢科技股份有限公司,2015,1,1
发明授权,起亚自动车株式会社,2014,10,1
实用新型,辽宁龙标新能源科技开发有限公司,2015,8,1
发明授权,中国船舶重工集团公司第七一九研究所,2019,2,1
发明授权,重庆华绿环保科技发展有限责任公司,2015,10,1
发明授权,本钢板材股份有限公司,2015,9,1
发明授权,江苏永鼎股份有限公司,2014,7,1
发明授权,波音公司,2017,10,1
发明授权,绍兴蓝海纤维科技有限公司,2014,7,1
发明授权,大连瑞贤达塑胶有限公司,2015,10,1
发明授权,腾讯科技(深圳)有限公司,2015,9,1
发明公开,阿肯马法国公司,2009,4,1
